"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"219","C52 vs C15",1,0.568715433979203,3.73251892237749,0.180032100120204,0.001,0.0010709939148073,"*"
"220","C52 vs C16",1,1.24045136468173,10.4427143881279,0.367149008551967,0.001,0.0010709939148073,"*"
"221","C52 vs C33",1,0.736901373824568,5.12906102217257,0.221758290025506,0.001,0.0010709939148073,"*"
"222","C52 vs C36",1,0.582638063275596,4.77449552981723,0.209642208037771,0.001,0.0010709939148073,"*"
"223","C52 vs C56",1,1.03354705974934,7.46670623663699,0.293194815507599,0.001,0.0010709939148073,"*"
"224","C52 vs C87",1,0.608758194733857,3.90842615404238,0.178398307873029,0.001,0.0010709939148073,"*"
"225","C52 vs C88",1,0.634556721421602,4.91547664312523,0.214504665108064,0.001,0.0010709939148073,"*"
"226","C52 vs C89",1,0.988147646998408,8.26197844825755,0.314598477968278,0.001,0.0010709939148073,"*"
"227","C52 vs C90",1,0.965411244929705,7.63925421955801,0.297951498672324,0.001,0.0010709939148073,"*"
"228","C52 vs C91",1,1.03086932991891,8.54931734533239,0.322016465965195,0.001,0.0010709939148073,"*"
"229","C55 vs C58",1,0.179962037781427,1.61404687899203,0.0822903549150168,0.058,0.0582205323193916,""
"230","C55 vs C8",1,1.33759570665077,15.3942238543242,0.460984627805052,0.001,0.0010709939148073,"*"
"231","C55 vs C13",1,1.23111972440143,10.8558430412394,0.376209526289865,0.001,0.0010709939148073,"*"
"232","C55 vs C17",1,1.24906524146417,14.0622629549467,0.438592340618837,0.001,0.0010709939148073,"*"
"233","C55 vs C18",1,0.897267775730165,6.35701190393577,0.260993094268208,0.001,0.0010709939148073,"*"
"234","C55 vs C28",1,1.47709885358487,18.0946309553523,0.501310873014179,0.001,0.0010709939148073,"*"
"235","C55 vs C59",1,1.35005382813263,15.0932996094261,0.456083249103605,0.001,0.0010709939148073,"*"
"236","C55 vs C65",1,0.959833042098538,8.90887468161688,0.343854173177888,0.001,0.0010709939148073,"*"
"237","C55 vs C67",1,1.47350632313887,20.6740650555743,0.534571812553602,0.001,0.0010709939148073,"*"
"238","C55 vs C70",1,0.949067837196898,9.17969460614306,0.337740903242831,0.001,0.0010709939148073,"*"
"239","C55 vs C72",1,1.46303264360638,17.2700533438266,0.489652033567151,0.001,0.0010709939148073,"*"
"240","C55 vs C73",1,1.2236113762109,14.6124666877436,0.448063828708647,0.001,0.0010709939148073,"*"
"241","C55 vs C74",1,0.761410177755442,7.27625796367706,0.287869271398216,0.001,0.0010709939148073,"*"
"242","C55 vs C86",1,1.21627630587055,11.5086000101135,0.418363711925811,0.001,0.0010709939148073,"*"
"243","C55 vs C15",1,1.03698822170553,8.52928407203077,0.334098051788896,0.001,0.0010709939148073,"*"
"244","C55 vs C16",1,1.22960527940865,13.706635626789,0.43229549133268,0.001,0.0010709939148073,"*"
"245","C55 vs C33",1,1.26632110857883,11.0504766268253,0.380388823521788,0.001,0.0010709939148073,"*"
"246","C55 vs C36",1,1.30404211442247,14.0289276899182,0.438008035290364,0.001,0.0010709939148073,"*"
"247","C55 vs C56",1,1.02207917143842,9.34744061844773,0.34180312332929,0.001,0.0010709939148073,"*"
"248","C55 vs C87",1,1.05343869575291,8.31589097785141,0.316002638286138,0.001,0.0010709939148073,"*"
"249","C55 vs C88",1,1.30022335125918,13.0001414027808,0.419357487240838,0.001,0.0010709939148073,"*"
"250","C55 vs C89",1,1.22172914097535,13.4961483957396,0.428501549655043,0.001,0.0010709939148073,"*"
"251","C55 vs C90",1,0.90822565096517,9.33451929551963,0.341491986546463,0.001,0.0010709939148073,"*"
"252","C55 vs C91",1,1.33179768009073,14.554910923458,0.447088027907034,0.001,0.0010709939148073,"*"
"253","C58 vs C8",1,1.20467113630879,11.4471425305716,0.388735257374713,0.001,0.0010709939148073,"*"
"254","C58 vs C13",1,1.03099257922984,7.82510660165878,0.303003845147968,0.001,0.0010709939148073,"*"
"255","C58 vs C17",1,1.09441103960478,10.2117086292632,0.361967038702182,0.001,0.0010709939148073,"*"
"256","C58 vs C18",1,0.724644834765442,4.54338688789627,0.201539675936434,0.001,0.0010709939148073,"*"
"257","C58 vs C28",1,1.22782503604033,12.2806882992093,0.405561728909907,0.001,0.0010709939148073,"*"
"258","C58 vs C59",1,1.07912092746146,10.0108169247947,0.357391109001656,0.001,0.0010709939148073,"*"
"259","C58 vs C65",1,0.795279543518261,6.2538423342815,0.2689380208389,0.001,0.0010709939148073,"*"
"260","C58 vs C67",1,1.32525634476676,14.7872689903354,0.451006425533465,0.001,0.0010709939148073,"*"
"261","C58 vs C70",1,0.887790450029587,7.29275208922437,0.28833367217209,0.001,0.0010709939148073,"*"
"262","C58 vs C72",1,1.25729436759819,12.1992482062694,0.403958672181013,0.001,0.0010709939148073,"*"
"263","C58 vs C73",1,1.02106944118162,10.0020752827218,0.357190500408853,0.001,0.0010709939148073,"*"
"264","C58 vs C74",1,0.644209386133642,5.23784259247596,0.225401414594825,0.001,0.0010709939148073,"*"
"265","C58 vs C86",1,1.0623808159796,8.4098404290962,0.344526645044012,0.001,0.0010709939148073,"*"
"266","C58 vs C15",1,0.820497394205334,5.81882832212042,0.255001187614865,0.001,0.0010709939148073,"*"
"267","C58 vs C16",1,1.08523958916601,10.0432121218854,0.358133443424175,0.001,0.0010709939148073,"*"
"268","C58 vs C33",1,1.06891312917634,8.0404160612308,0.308766804736328,0.001,0.0010709939148073,"*"
"269","C58 vs C36",1,1.17797057573789,10.5835469008424,0.370267095877122,0.001,0.0010709939148073,"*"
"270","C58 vs C56",1,0.845359085456512,6.62032526871203,0.268896742689475,0.001,0.0010709939148073,"*"
