Domain,Phylum,Class,Order,Family,Genus,Species,best_hit
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,f__Chitinophagaceae,f__Chitinophagaceae,ASV 119: 6a547316251ab9cad3eca0631bba0439:f__Chitinophagaceae
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,f__Chitinophagaceae,f__Chitinophagaceae,ASV 120: 6c65a1bd888028fd24c3369f2b5021dd:f__Chitinophagaceae
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,f__Chitinophagaceae,f__Chitinophagaceae,ASV 121: 8a134c06a1c07b21821f608d4d1990d8:f__Chitinophagaceae
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,g__Fluviicola,ASV 122: f993cf5f8dd47a561a425bdf85cb7f4f:g__Fluviicola
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,g__Fluviicola,ASV 123: b9c3a874db94696786944be08e82b917:g__Fluviicola
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,g__Fluviicola,ASV 124: ceb4910d6823da85b4369e2d0211190d:g__Fluviicola
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,g__Fluviicola,ASV 125: 655dbe21e94cf807ebe10499b127aa05:g__Fluviicola
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,g__Fluviicola,ASV 126: c8dd52a1663385125af2d54ae44f450d:g__Fluviicola
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,g__Fluviicola,ASV 127: da548ed50eef92bb3ab5df301780d3f9:g__Fluviicola
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,AKYH767,g__AKYH767,ASV 128: 325c46d17c04e04ddd7a378e5794d65b:g__AKYH767
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,KD3-93,KD3-93,g__KD3-93,ASV 129: 143f6a093f0224ba06bded84e65c85ea:g__KD3-93
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,KD3-93,KD3-93,g__KD3-93,ASV 130: 375b4e7b685bf0fb24a993096b787413:g__KD3-93
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,g__NS9_marine_group,ASV 131: 54c2ac30c0a851bdbe5136a8d24a2435:g__NS9_marine_group
